sheet,train_rows,test_rows,mae,mse,nan_predictions
1월 평일,5.0,71.0,4.1235270500183105,32.20836639404297,0
1월 주말 · 공휴일,5.0,71.0,2.6816012859344482,14.748985290527344,0
2월 평일,5.0,71.0,3.7062695026397705,30.83186912536621,0
2월 주말 · 공휴일,5.0,71.0,6.340956211090088,102.02436065673828,0
3월 평일,5.0,71.0,3.995429277420044,21.772397994995117,0
3월 주말 · 공휴일,5.0,71.0,3.8689699172973633,28.96921157836914,0
4월 평일,5.0,71.0,7.693954944610596,83.1427001953125,0
4월 주말 · 공휴일,5.0,71.0,3.564659833908081,28.478269577026367,0
5월 평일,5.0,71.0,4.477809906005859,38.208614349365234,0
5월 주말 · 공휴일,5.0,71.0,5.8174567222595215,54.06594467163086,0
6월 평일,5.0,71.0,4.827845096588135,43.83837890625,0
6월 주말 · 공휴일,5.0,71.0,0.244961217045784,0.13067467510700226,0
7월 평일,5.0,71.0,3.9777703285217285,29.25115203857422,0
7월 주말 · 공휴일,5.0,71.0,4.194305419921875,36.881683349609375,0
8월 평일,5.0,71.0,4.643620491027832,59.02112579345703,0
8월 주말 · 공휴일,5.0,71.0,3.9456841945648193,26.21547508239746,0
9월 평일,5.0,71.0,7.267930507659912,252.6068115234375,0
9월 주말 · 공휴일,5.0,71.0,5.755998611450195,57.88649368286133,0
10월 평일,5.0,71.0,9.7467041015625,144.84912109375,0
10월 주말 · 공휴일,5.0,71.0,2.843245029449463,15.897928237915039,0
11월 평일,5.0,71.0,7.9575910568237305,95.49329376220703,0
11월 주말 · 공휴일,5.0,71.0,23.637481689453125,708.0620727539062,0
12월 평일,5.0,71.0,6.845036029815674,68.73050689697266,0
12월 주말 · 공휴일,5.0,71.0,2.7639148235321045,13.071694374084473,0
(mean),5.0,71.0,5.621780135358374,82.76613050016265,0
